time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.045984392174743e-06,9.236009515789151e-07,10.008808193997517,0.0005677381723172559,0.0006253506300559764,0.0,-8.29440947209978e-05,7.400163599853498e-05,0.2935769626052626,0.023704744840245,0.02574469290184635,0.0,494.6927247442466,496.5843965243611,492.5313356571608,494.28098853941276
0.12000000000000001,-3.156624916897043e-05,2.8537395284942536e-05,10.035942829381423,0.0014498863862248967,0.0026551078050767174,0.0,-0.0011788783107573718,0.001019804082502148,0.6107953365914431,-0.01734377880900542,0.04643012820640453,0.0,501.7107301615806,503.2104117979236,501.5051134428636,498.51511354523336
0.18,-0.00017720626823588582,0.00011904641216902286,10.07829470659747,0.0003425959271918799,0.006016065312848262,0.0,-0.0040354138185481735,0.0018732675529698369,0.8008185669569636,-0.020774912207478968,0.0703953074909918,0.0,464.0774239943074,465.95632202841443,465.1170027481241,464.8483193745209
0.23999999999999996,-0.0005632392986631422,0.00023385453748893495,10.129855750624168,6.281867451562377,0.010228925125191246,0.0,-0.009272644900381887,0.0018079065725535733,0.9177925469325228,-0.04735896685286022,0.06985009284255211,0.0,443.1871787598243,443.1461494039658,443.7830858636737,441.59557062302326
0.3,-0.0013405281525039627,0.00030528129968133234,10.18734218492386,6.278988260798322,0.014056369001530733,0.0,-0.01703777466730697,0.000289616525749041,0.9983493042124427,-0.049271660750613275,0.04752584302133388,0.0,432.7449532389005,430.86490678271946,431.4148570713645,431.25186600676625
0.36000000000000004,-0.0026733113104247417,0.00022181395304482582,10.250858830333197,6.276128025768738,0.017129267974071993,0.0,-0.027698738822864177,-0.0033765563492698077,1.1187553554775587,-0.04464763713463,0.05772409847525896,0.0,443.28633758345364,444.12514663786254,444.8464971332419,445.22355404260946
0.4200000000000001,-0.004724702293529044,-0.0001459936332009154,10.322245013948935,6.273752551328551,0.0203578615963238,0.0,-0.04104199849661937,-0.009154297134431066,1.2606290961948903,-0.031026887784561544,0.04453530954758167,0.0,451.9237051520901,450.86134505972126,450.64235189142573,451.7410783915879
0.48000000000000015,-0.007592803386351263,-0.0008851225464369714,10.399671971186066,6.271381586649232,0.022678720809364172,0.0,-0.05480339192883863,-0.01567505356594958,1.320194775219297,-0.06768679539986266,0.02317286594195299,0.0,426.73043926584313,424.90392668318367,426.8354972775141,423.69440090368903
0.5400000000000001,-0.01130055006019799,-0.002054886224146801,10.479512125334455,6.267675219610156,0.024046024312119663,0.0,-0.06891224796912311,-0.023665550566656635,1.341111267442177,-0.05200023523631065,0.022008229821810117,0.0,412.38475903040154,412.2819625040548,412.7688707829203,414.14760938978424
0.6000000000000002,-0.015941613087050294,-0.0038101581550561477,10.563159983712948,6.26447001414882,0.025155876879796146,0.0,-0.08591311133148669,-0.035166563260680135,1.4470130649523514,-0.0564215705395891,0.010342669082638664,0.0,439.7988150889316,438.8315854179121,442.1791855418795,441.8129358848559
0.6600000000000003,-0.021656722028135456,-0.006348795798106016,10.654479744942588,6.26104643118007,0.025847347798663378,0.0,-0.10465766514869376,-0.049823105327932174,1.5967713498116365,-0.05836700879374428,0.013789200282832247,0.0,454.7018405352321,454.97771156323824,454.4081071734881,454.249982582077
0.7200000000000003,-0.028486119961699616,-0.009819537770782498,10.753747107166788,6.257518462613124,0.027017247028746638,0.0,-0.12309108418935599,-0.06623086152134666,1.7119623238838764,-0.05967836383984017,0.028990205638846023,0.0,443.52650298361226,444.77307524540635,444.57888654445424,444.46901965136914
0.7800000000000004,-0.03648377689156996,-0.01438179022825842,10.861170332589202,6.253383835940696,0.028288196279656397,0.0,-0.1436667544634624,-0.08624619331152503,1.8685510517252437,-0.10299264020564193,-0.0029135597587718106,0.0,458.2775160060915,455.73475204586924,459.7207421481044,456.27173788733745
0.8400000000000004,-0.045766575427976644,-0.020280534005420247,10.979043292428159,6.247849995202426,0.0283332473621849,0.0,-0.16574470808712677,-0.11103850456637895,2.0601982413185693,-0.07654767017118122,0.007223829208883443,0.0,466.95245461203797,467.7425379931382,468.83114419524213,470.8741841766178
0.9000000000000005,-0.05641965213997829,-0.027844172596159053,11.10989223840569,6.242905632825746,0.02858776913635186,0.0,-0.1893888250220726,-0.14164727811649153,2.3009538708340997,-0.09792003320974844,-0.0025118397855836976,0.0,484.31486159151865,483.58203145411835,484.2471919139849,482.6317621009801
0.9600000000000005,-0.06846405894333218,-0.037327980920817905,11.254085156492474,6.236977453644407,0.028547826538884102,0.0,-0.2120690744675433,-0.1751547062330553,2.5050182570787562,-0.1006286137176845,0.0027924022537444294,0.0,473.92709464025313,474.33461001570316,473.9805486863309,473.7646170379374
1.0200000000000005,-0.08175655471887894,-0.04877592242886528,11.40655578869805,6.231408452391317,0.028280169593072557,0.0,-0.2310121203831894,-0.20700047041348127,2.5771433557887127,-0.0805593029960431,-0.02576351742896966,0.0,435.9988892011246,433.6066274349757,433.265161753471,434.9414618457653
1.0800000000000005,-0.09619910956171551,-0.062288217235420815,11.56423991558312,6.226196748258378,0.02666393832704017,0.0,-0.2502393173983088,-0.24390624045169268,2.6787325263168253,-0.10405681990571537,-0.02939400751300888,0.0,443.3159660715484,443.017386602178,446.2436642312694,444.31491717878146
1.1400000000000006,-0.11172170062594103,-0.07804083738580773,11.726517861760673,6.220362766713295,0.02467502976941116,0.0,-0.2670015205126537,-0.2817446918459808,2.7303741088600018,-0.0862400653043536,-0.041974585573847804,0.0,429.8211584359724,428.7531408033716,427.61121339757347,429.1176083631756
